,product,alt_name,PFAM,GO_function,GO_process,GO_component,TransMembrane,SECRETED,antiSMASH,MEROPS,EggNog,COG,BUSCO,CAZy,SMCOG,CPSG,CiRS,WT.S/WT.H,p(WT.S/WT.H),Cp_S/Cp_H,p(Cp_S/Cp_H),Beyhan_exp,Whiston_exp
D8B26_000027,Mitotic spindle checkpoint component mad2,MAD2,PF02301,, GO:0007094 - mitotic spindle assembly checkpoint,,,,,,ENOG410PFQB,D,14017at33183,,,CPSG_05729,CIMG_05635,-1.11921797895118,0.00219589816292446,-1.29654146878837,6.8344974255355e-05,hyphae_upreg,hyphae_upreg
D8B26_000028,Translation factor guf1 mitochondrial,GUF1,PF00009;PF00071;PF00679;PF01926;PF03144;PF06421, GO:0005525 - GTP binding; GO:0003924 - GTPase activity,,,,,,,ENOG410PJNW,J,2908at33183,,,CPSG_05730,CIMG_05634,-0.381834570833924,0.167376655503002,0.304947413556188,0.0950722431041945,no upreg,no upreg
D8B26_000029,hypothetical protein,,, GO:0046872 - metal ion binding,,,,,,,ENOG410PPB4,S,3938at33183,,,CPSG_05731,CIMG_13481,-1.03858665494921,0.00560425623812028,-1.65593147940866,1.44959200147177e-06,hyphae_upreg,hyphae_upreg
D8B26_000030,Vesicle trafficking between the ER and Golgi,SLY1,PF00995,, GO:0016192 - vesicle-mediated transport; GO:0006904 - vesicle docking involved in exocytosis,,,,,,ENOG410PI5M,U,2750at33183,,,CPSG_05733,CIMG_05632,-0.396071606322751,0.0679404858267731,-0.0351794643865562,0.826382673197905,no upreg,no upreg
D8B26_000031,hypothetical protein,,PF00498, GO:0005515 - protein binding,,,1 (o656-681i),,,,ENOG410PS8E,T,,,,CPSG_05737,CIMG_05629,1.47912991658345,0.00491447363750057,0.637384298795054,0.00245848159894816,spherule_upreg,no upreg
D8B26_000032,hypothetical protein,,,,,,2 (i21-40o74-92i),,,,ENOG410PQYR,,,,,CPSG_05738,CIMG_05627,2.56776450387816,0.000190844853866675,3.10158793883244,5.55155590166795e-05,spherule_upreg,spherule_upreg
D8B26_000033,TOM (translocase of outer membrane) complex component,TOM70,PF07719;PF13176;PF13181;PF13414;PF13432;PF14559, GO:0005515 - protein binding; GO:0015450 - P-P-bond-hydrolysis-driven protein transmembrane transporter activity, GO:0006886 - intracellular protein transport, GO:0005741 - mitochondrial outer membrane,1 (i46-67o),,,,ENOG410PFH4,U,5041at33183,,,CPSG_05739,CIMG_05626,0.0572761235160506,0.838733404659296,0.901500252969864,5.25577064658973e-05,no upreg,no upreg
D8B26_000034,hypothetical protein,,PF01063, GO:0003824 - catalytic activity,,,,,,,ENOG410PNK8,E,12524at33183,,,CPSG_05740,CIMG_05625,-0.090162553767704,0.761395870268837,0.940800088997255,6.88907376541768e-05,no upreg,no upreg
D8B26_000035,hypothetical protein,,PF04707,,, GO:0005758 - mitochondrial intermembrane space,,,,,ENOG410PNN0,U,11484at33183,,,CPSG_05741,CIMG_05624,-0.237222826863722,0.462940165525169,1.66523630040814,2.91028832490055e-06,no upreg,spherule_upreg
D8B26_000036,Protein kinase,SNF1,PF00069;PF07714;PF08587;PF14531;PF16579, GO:0005524 - ATP binding; GO:0004672 - protein kinase activity; GO:0004674 - protein serine/threonine kinase activity, GO:0006468 - protein phosphorylation,,,,,,ENOG410PGMD,T,126256at4751;2195at33183,,,CPSG_05742,CIMG_05623,0.669881283950024,0.0265744750851424,0.144533112776689,0.427001684509814,no upreg,no upreg
D8B26_000037,hypothetical protein,,PF01284,,, GO:0016020 - membrane,3 (n9-19c24/25o40-60i72-92o134-158i),,,,ENOG410PSG0,U,15894at33183,,,CPSG_05743,CIMG_05622,4.07643908261192,0.000493623757450601,4.15936659229867,0.000454042309190944,spherule_upreg,spherule_upreg
D8B26_000038,hypothetical protein,,,,,,,SignalP(1-16),,,ENOG410QE54,,,,,CPSG_05744,CIMG_05621,-2.57522864390091,0.000264160921799442,-0.486439841435614,0.04367459260163,hyphae_upreg,no upreg
D8B26_000039,hypothetical protein,,,,,,1 (o759-778i),,,,ENOG410PYG0,S,,,,CPSG_05745,CIMG_05620,-0.988842438716735,0.0157553745589979,-2.4949768610292,3.95716239523598e-07,no upreg,hyphae_upreg
D8B26_000041,hypothetical protein,,PF13468,,,,,,,,ENOG410PQ79,,,,,CPSG_05746,CIMG_05619,0.356431994078802,0.520132567642561,-1.81859894483074,0.0631360866104207,no upreg,no upreg
D8B26_000042,hypothetical protein,,PF01565, GO:0016491 - oxidoreductase activity; GO:0050660 - flavin adenine dinucleotide binding; GO:0071949 - FAD binding, GO:0055114 - oxidation-reduction process,,,,,,ENOG410PGDD,C,,AA7,,CPSG_05747,CIMG_11581,4.39071598102869,0.00032781328359175,-0.825911421012669,0.0552997670451097,spherule_upreg,no upreg
D8B26_000043,hypothetical protein,,PF00300,,,,1 (o16-37i),,,,ENOG410PKMG,G,11323at33183,,,CPSG_05748,CIMG_05617,0.0175554790882648,0.937888552177084,1.05404021129146,0.000324995345079418,no upreg,spherule_upreg
D8B26_000044,hypothetical protein,,PF07690, GO:0022857 - transmembrane transporter activity, GO:0055085 - transmembrane transport,,13 (o87-105i117-137o143-164i176-195o207-227i247-266o278- 296i317-340o352-373i380-399o405-424i445-466o486-503i),,,,ENOG410QE33,U,,,,CPSG_05749,CIMG_05615,-0.863250071847044,0.216699483290365,1.13921123052628,0.000539671454431322,no upreg,spherule_upreg
D8B26_000046,hypothetical protein,,PF00651, GO:0005515 - protein binding,,,,,,,ENOG410PX66,S,,,,CPSG_05751,CIMG_05613,-0.516640409434453,0.0656322778760863,-0.708623636680918,0.035101516854329,no upreg,no upreg
D8B26_000047,hypothetical protein,,PF10242,,,,4 (i112-135o192-215i227-250o266-287i),,,,ENOG410PPZY,S,14199at33183,,,CPSG_05752,,0.137058901059981,0.586395616040464,-0.353824265451722,0.155945922002084,no upreg,no upreg
D8B26_000048,Splicing factor,PRP24,PF00076;PF16842, GO:0003676 - nucleic acid binding; GO:0005515 - protein binding, GO:0006396 - RNA processing,,,,,,ENOG410PM4Y,A,669at33183,,,CPSG_05753,CIMG_05611,1.54160324230937,0.000904944781775652,-1.27057327845003,0.000278668935383883,spherule_upreg,hyphae_upreg
D8B26_000049,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,
D8B26_000050,"54S ribosomal protein L22, mitochondrial",MRPL22,PF00237, GO:0003735 - structural constituent of ribosome, GO:0006412 - translation, GO:0005840 - ribosome; GO:0015934 - large ribosomal subunit,,,,,ENOG410PNW5,J,13041at33183,,,CPSG_05755,CIMG_05609,-0.00194368234126419,0.996577960784804,0.862796693501098,0.00842045283948419,no upreg,no upreg
D8B26_000051,hypothetical protein,,,,,,,,,,ENOG410PS26,,11156at33183,,,CPSG_05757,CIMG_05608,2.26917980318517,0.0098590093627762,2.13503975751298,0.00198764284784051,spherule_upreg,spherule_upreg
D8B26_000052,hypothetical protein,,,,,,,,,,,,,,,CPSG_05758,CIMG_13477,-0.570872173998288,0.508768873294201,1.27653672189664,0.13191548539224,no upreg,no upreg
D8B26_000053,hypothetical protein,,PF13087;PF13245, GO:0003723 - RNA binding; GO:0032574 - 5'-3' RNA helicase activity, GO:0035194 - posttranscriptional gene silencing by RNA,,,,,,ENOG410PIP2,A,955at33183,,,CPSG_05760,CIMG_05607,1.05828380206537,0.00505139074065516,-0.0213545528689547,0.928767606089143,spherule_upreg,no upreg
D8B26_000054,hypothetical protein,,PF00168,,,,,,,,ENOG410PIMA,S,2831at33183,,,CPSG_05761,CIMG_05606,-0.0958188013751977,0.706436984070928,0.405252659813728,0.114574933564385,no upreg,no upreg
D8B26_000055,hypothetical protein,,PF00400;PF09384, GO:0005515 - protein binding, GO:0006364 - rRNA processing, GO:0005730 - nucleolus,,,,,ENOG410PH3J,A,147028at4751;7494at33183,,,CPSG_05762,CIMG_05605,0.14318898743011,0.645428904573401,0.151727592866783,0.558851955876278,no upreg,no upreg
D8B26_000056,hypothetical protein,,PF05721,,,,,,,,ENOG410PM9D,I,10479at33183,,,CPSG_05763,CIMG_05604,-0.575937522870016,0.029070912015464,-0.896626848808175,0.00191969588963685,no upreg,no upreg
D8B26_000057,hypothetical protein,,PF16983, GO:0015098 - molybdate ion transmembrane transporter activity, GO:0015689 - molybdate ion transport,,9 (i35-57o63-87i107-131o172-189i196-214o275-298i310-333o339- 360i402-427o),,,,ENOG410PGTE,P,7595at33183,,,CPSG_05764,CIMG_05603,-0.559543605432553,0.026428398236916,-0.424605631787384,0.0568505709271837,no upreg,no upreg
D8B26_000058,hypothetical protein,,PF13391,,,,,,,,ENOG410Q551,,,,,CPSG_05765,,1.764663522252,0.000480271095787593,0.342437260357879,0.196062318329512,spherule_upreg,no upreg
D8B26_000059,hypothetical protein,,PF10639,,,,4 (o14-35i88-107o113-133i142-160o),,,,ENOG410PPBU,S,14659at33183,,,CPSG_05766,CIMG_05601,-2.33402263421175,0.000480271095787593,-0.157027150309871,0.518045796571106,hyphae_upreg,no upreg
D8B26_000060,hypothetical protein,,PF11735,,,,,,,,ENOG410PHXT,S,7375at33183,GT69,,CPSG_05767,CIMG_05600,-2.24913484132364,0.00413922668860757,-0.319566304320982,0.0913132882699657,hyphae_upreg,no upreg
D8B26_000061,"Chitin synthase, class 1",CHS1_1,,,,,,,,,ENOG410PF8Q,M,,,,CPSG_05768,CIMG_05599,2.83411899484511,0.000330420792908726,0.208366281556009,0.682527218506638,spherule_upreg,no upreg
D8B26_000062,"Chitin synthase, class 1",CHS1_2,PF01644;PF08407," GO:0004100 - chitin synthase activity; GO:0016758 - transferase activity, transferring hexosyl groups", GO:0006031 - chitin biosynthetic process,,7 (o562-581i593-617o637-658i670-692o712-737i843-861o881- 908i),,,,ENOG410PF8Q,M,,GT2_Chitin_synth_1,,CPSG_05769,CIMG_05598,1.12197292784683,0.0031743044971725,-0.642983125130312,0.00704732196919751,spherule_upreg,no upreg
D8B26_000063,hypothetical protein,,PF01565;PF08031, GO:0016491 - oxidoreductase activity; GO:0050660 - flavin adenine dinucleotide binding; GO:0071949 - FAD binding, GO:0055114 - oxidation-reduction process,,,SignalP(1-20),,,ENOG410PKSP,C,,,,CPSG_05770,CIMG_05597,-5.9624684627969,8.89559232310279e-05,-2.18590615980742,0.00339302994688512,hyphae_upreg,hyphae_upreg
D8B26_000064,hypothetical protein,,,,,,7 (o27-47i59-79o119-140i152-178o198-221i233-255o275-295i),,,,ENOG410PHKC,S,,,,CPSG_05771,CIMG_11576,-0.0706876095158142,0.878337384082924,-1.76087843422096,0.000165334660604326,no upreg,hyphae_upreg
D8B26_000065,hypothetical protein,,PF01451, GO:0004725 - protein tyrosine phosphatase activity, GO:0006470 - protein dephosphorylation,,,,,,ENOG410PN7B,T,16027at33183,,,CPSG_05772,CIMG_11575,-0.542210059107854,0.0847544677133813,-2.0222398870479,0.000110659284882788,no upreg,hyphae_upreg
D8B26_000066,hypothetical protein,,PF03232, GO:0004497 - monooxygenase activity, GO:0006744 - ubiquinone biosynthetic process,,,,,,ENOG410PIYJ,H,,,,CPSG_05773,CIMG_05595,0.123814065629255,0.823703452731933,1.21235443571677,0.000109848188607793,no upreg,spherule_upreg
D8B26_000067,hypothetical protein,,PF03126, GO:0003677 - DNA binding,,,,,,,ENOG410PK0X,K,360800at4751;7352at33183,,,CPSG_05774,CIMG_05594,0.506666039898283,0.0340444585774493,0.0647374921717896,0.757274761753807,no upreg,no upreg
D8B26_000068,hypothetical protein,,PF09444,,,,,,,,ENOG410PM0Z,D,1387at33183,,,CPSG_05775,CIMG_05593,-0.67752681426039,0.0318412051642706,-1.23158361425346,0.000249361018169199,no upreg,hyphae_upreg
D8B26_000069,hypothetical protein,,,,,,,,,,ENOG410PYXU,,,,,CPSG_05776,CIMG_05592,1.12927574325897,0.00903400325229408,1.04866912980767,0.0038419295799306,spherule_upreg,spherule_upreg
D8B26_000070,hypothetical protein,,PF13242,,,,,,,,ENOG410PMWN,S,11352at33183,,,CPSG_05777,CIMG_05591,-0.868562082365087,0.0201758109194492,1.43502199348555,0.000378614279421487,no upreg,spherule_upreg
D8B26_000071,suppressor of glycerol defect,SGD1,PF02847;PF02854, GO:0003723 - RNA binding; GO:0005515 - protein binding,,,,,,,ENOG410PFVN,T,3164at33183,,,CPSG_05778,CIMG_05590,0.0422506975543957,0.864365954161398,-0.502560433981904,0.0199120592264193,no upreg,no upreg
D8B26_000072,hypothetical protein,,PF02290, GO:0008312 - 7S RNA binding; GO:0030942 - endoplasmic reticulum signal peptide binding, GO:0006614 - SRP-dependent cotranslational protein targeting to membrane," GO:0048500 - signal recognition particle; GO:0005786 - signal recognition particle, endoplasmic reticulum targeting",,,,,ENOG410PR8H,U,16966at33183,,,CPSG_05779,CIMG_05589,-0.239492664000703,0.283438627084925,-0.0162390822116603,0.942187141242868,no upreg,no upreg
D8B26_000073,hypothetical protein,,PF12634,, GO:0045033 - peroxisome inheritance, GO:0005780 - extrinsic component of intraperoxisomal membrane,,,,,ENOG410PQID,S,8677at33183,,,CPSG_05780,CIMG_05588,0.677609390421462,0.0570928167208758,1.2956521115079,5.59284908287993e-05,no upreg,spherule_upreg
D8B26_000074,hypothetical protein,,PF00083;PF07690, GO:0022857 - transmembrane transporter activity, GO:0055085 - transmembrane transport, GO:0016020 - membrane; GO:0016021 - integral component of membrane,11 (i20-36o75-98i105-122o128-153i165-183o203-220i339-356o362- 384i396-419o439-460i467-486o),,,,ENOG410PJBY,C,,,,CPSG_05783,CIMG_13476,1.17541827001297,0.017531192973977,1.37610057591942,4.90472184763369e-05,spherule_upreg,spherule_upreg
D8B26_000075,methylated-DNA--protein-cysteine methyltransferase,MGT1,PF01035, GO:0003824 - catalytic activity; GO:0003908 - methylated-DNA-[protein]-cysteine S-methyltransferase activity, GO:0006281 - DNA repair,,,,,,ENOG410PREP,L,15033at33183,,,CPSG_05784,CIMG_05586,-4.04383450426113,0.000278092247221378,-2.84101441711553,4.16012763335764e-07,hyphae_upreg,hyphae_upreg
D8B26_000076,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,
D8B26_000077,hypothetical protein,,PF00194, GO:0008270 - zinc ion binding; GO:0004089 - carbonate dehydratase activity,,,,SignalP(1-19),,,ENOG410PNY1,P,,,,CPSG_05785,CIMG_05585,2.07323042994839,0.00013270913174714,1.95844309006838,0.000155509384155648,spherule_upreg,spherule_upreg
D8B26_000078,hypothetical protein,,,,,,,,,,ENOG410PTEP,S,,,,CPSG_05786,CIMG_11572,-0.392929070242383,0.518864817259728,1.01744221737627,0.156301150986987,no upreg,no upreg
D8B26_000079,hypothetical protein,,PF00023;PF12796;PF13606;PF13637;PF13857, GO:0005515 - protein binding,,,,,,,ENOG410QEAJ,M,,,,CPSG_05789,CIMG_05582,-1.03912120182319,0.00265996715210774,-0.602853910146864,0.0353198557998954,hyphae_upreg,no upreg
D8B26_000080,general negative regulator of transcription subunit 5,NOT5,PF04065;PF04153,," GO:0006355 - regulation of transcription, DNA-templated", GO:0042025 - host cell nucleus; GO:0005634 - nucleus; GO:0030015 - CCR4-NOT core complex,,,,,ENOG410PIR5,K,5258at33183,,,CPSG_05790,,0.17016398887912,0.405973941855202,-0.116080193836679,0.549219026798107,no upreg,no upreg
D8B26_000081,D-tyrosyl-tRNA(Tyr) deacylase,DTD1,PF02580, GO:0002161 - aminoacyl-tRNA editing activity; GO:0051499 - D-aminoacyl-tRNA deacylase activity,, GO:0005737 - cytoplasm,,,,,ENOG410PPBZ,J,,,,CPSG_05791,CIMG_05580,-0.627779258773954,0.0496250004140851,0.280550267780954,0.199224507651929,no upreg,no upreg
D8B26_000082,peptidyl-prolyl cis-trans isomerase cpr6,CPR6,PF00160;PF07719, GO:0003755 - peptidyl-prolyl cis-trans isomerase activity; GO:0005515 - protein binding, GO:0000413 - protein peptidyl-prolyl isomerization; GO:0006457 - protein folding,,,,Cluster_1.1,,ENOG410PHJ3,O,,,,CPSG_05792,CIMG_05579,-0.410013043954719,0.325393327354381,-0.739436072856588,0.00241170208299148,no upreg,no upreg
D8B26_000083,hypothetical protein,,PF03069," GO:0016811 - hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",,,,,Cluster_1.1,,ENOG410PKCF,C,6137at33183,,,CPSG_05793,CIMG_05578,-0.439359926014507,0.671554246395532,3.33022804618736,3.67971384939931e-07,no upreg,spherule_upreg
D8B26_000084,hypothetical protein,,,,,,,,Cluster_1.1,,ENOG410Q58X,,,,,,,,,,,,
D8B26_000085,hypothetical protein,,,,,,,SignalP(1-20),Cluster_1.1,,ENOG4113H08,,,,,CPSG_05795,CIMG_05576,0.611860258196367,0.0211736554412389,0.546414428618227,0.084408869324911,no upreg,no upreg
D8B26_000086,hypothetical protein,,,,,,,,Cluster_1.1,,ENOG410PKF5,G,,,,CPSG_05796,CIMG_05574,-1.19090579453682,0.00132142641564004,-0.150130696397278,0.518812790002915,hyphae_upreg,no upreg
D8B26_000087,hypothetical protein,,PF00172," GO:0008270 - zinc ion binding; GO:0000981 - DNA-binding transcription factor activity, RNA polymerase II-specific"," GO:0006355 - regulation of transcription, DNA-templated", GO:0042025 - host cell nucleus,,,Cluster_1.1,,ENOG410PP4N,S,,,,CPSG_05797,CIMG_05573,-1.39599123617991,0.0355253166737382,-0.778136965373126,0.0241975677734281,hyphae_upreg,no upreg
D8B26_000088,hypothetical protein,,PF01593;PF13450, GO:0016491 - oxidoreductase activity, GO:0055114 - oxidation-reduction process,,,,Cluster_1.1,,ENOG410PH96,Q,,,,CPSG_05798,CIMG_05572,-2.39901876669532,0.0167887323896921,0.522913622884329,0.0157628937163795,hyphae_upreg,no upreg
D8B26_000089,Type I Iterative PKS,,PF00109;PF00550;PF00698;PF01370;PF02801;PF07993;PF16073, GO:0031177 - phosphopantetheine binding; GO:0003824 - catalytic activity; GO:0016740 - transferase activity,,,,,Cluster_1.1,,ENOG410PV4Q,I,,,1022:Beta-ketoacyl synthase,CPSG_05799,CIMG_05571,0.99741450412388,0.041372567397385,-0.901048088415326,0.0462665442342051,no upreg,no upreg
D8B26_000090,hypothetical protein,,PF01494, GO:0071949 - FAD binding,,,1 (o20-38i),,Cluster_1.1,,ENOG410PVDP,I,,,1087:hypothetical protein,CPSG_05800,CIMG_05570,-1.71529613345034,0.00740291186550189,-2.00722195252042,0.0142083879939107,hyphae_upreg,hyphae_upreg
D8B26_000091,Type I Iterative PKS,,PF00106;PF00107;PF00109;PF00550;PF00698;PF02801;PF08659;PF13602;PF14765;PF16197, GO:0016491 - oxidoreductase activity; GO:0031177 - phosphopantetheine binding; GO:0016740 - transferase activity; GO:0003824 - catalytic activity,,,,,Cluster_1.1,,ENOG410QD81,I,,,1022:Beta-ketoacyl synthase,,,,,,,,
D8B26_000092,hypothetical protein,,PF03959,,,,,,Cluster_1.1,,ENOG410PIW7,S,12528at33183,,,CPSG_05803,CIMG_05565,-0.239712054035834,0.801799703166841,-0.56790231819111,0.121386677705053,no upreg,no upreg
D8B26_000093,hypothetical protein,,PF00173;PF00487, GO:0016491 - oxidoreductase activity, GO:0006629 - lipid metabolic process, GO:0016021 - integral component of membrane,6 (o217-235i242-261o273-295i355-376o388-406i418-437o),,Cluster_1.1,,ENOG410PFMX,I,,,,CPSG_05805,CIMG_05563,-4.10766631995682,0.00288058295655329,-1.55229872533747,0.000420347943591854,hyphae_upreg,hyphae_upreg
D8B26_000094,hypothetical protein,,PF11443,,,,,,Cluster_1.1,,ENOG410PFIR,S,4425at33183,,,CPSG_05807,CIMG_05561,0.278504775684568,0.298985944190043,0.478902954229219,0.0403729601887186,no upreg,no upreg
D8B26_000095,hypothetical protein,,,,,,,SignalP(1-18),Cluster_1.1,,ENOG410Z5FV,,,,,CPSG_05808,CIMG_05560,-0.982524478233675,0.0886221210149271,-0.564907691650979,0.113437078308033,no upreg,no upreg
D8B26_000096,hypothetical protein,,,,,,,,Cluster_1.1,,ENOG410PIST,S,,,,CPSG_05809,,5.92248083450194,6.67591627191547e-05,4.13911761348901,0.000250504508755851,spherule_upreg,spherule_upreg
D8B26_000097,hypothetical protein,,,,,,,,Cluster_1.1,,ENOG410Q5BF,,,,,CPSG_05810,CIMG_05558,-1.60393605625474,0.00164312580576174,-1.05690306441655,0.00183477819757586,hyphae_upreg,hyphae_upreg
D8B26_000098,Secreted subtilisin-like serine protease sub4,SUB4,PF00082;PF05922, GO:0004252 - serine-type endopeptidase activity, GO:0006508 - proteolysis,,,SignalP(1-19),,MER0005078,ENOG410PGE1,O,,,,CPSG_05811,CIMG_05557,0.538873182917188,0.0586630419296451,-0.255971157830924,0.326982225483392,no upreg,no upreg
D8B26_000099,hypothetical protein,,,,,,,,,,,,,,,CPSG_05812,,3.31192609507741,0.000240129468417501,1.37946383006884,0.289235681421021,spherule_upreg,no upreg
